"name","patients_seen_in_four_hours","attendances_at_ane","emergency_admissions_via_type_1_ae","analysisdate"
"United Lincolnshire Hospitals NHS Trust",93.3,3248,721,"2011.03.20"
"University Hospitals Of Leicester NHS Trust",89.4,2896,913,"2011.03.20"
"Birmingham Children'S Hospital NHS Foundation Trust",98.7,1030,265,"2011.03.20"
"Burton Hospitals NHS Foundation Trust",98.9,1208,336,"2011.03.20"
"George Eliot Hospital NHS Trust",95.3,1247,279,"2011.03.20"
"Heart Of England NHS Foundation Trust",93,4669,1356,"2011.03.20"
"Hereford Hospitals NHS Trust",98.4,971,209,"2011.03.20"
"Mid Staffordshire NHS Foundation Trust",82.3,1151,315,"2011.03.20"
"Sandwell And West Birmingham Hospitals NHS Trust",94.8,3513,774,"2011.03.20"
"Shrewsbury And Telford Hospital NHS Trust",90.1,1903,417,"2011.03.20"
"South WarWiCkshire NHS Foundation Trust",98.5,1101,334,"2011.03.20"
"The Dudley Group Of Hospitals NHS Foundation Trust",98.8,1920,465,"2011.03.20"
"The Royal Wolverhampton Hospitals NHS Trust",97.9,1921,294,"2011.03.20"
"University Hospital Birmingham NHS Foundation Trust",93.8,1668,430,"2011.03.20"
"University Hospital Of North Staffordshire NHS Trust",90.1,2199,666,"2011.03.20"
"University Hospitals Coventry And WarWiCkshire NHS Trust",92.4,2920,787,"2011.03.20"
"Walsall Hospitals NHS Trust",98.9,1508,304,"2011.03.20"
"Worcestershire Acute Hospitals NHS Trust",93.2,2437,628,"2011.03.20"
"Basildon And Thurrock University Hospitals NHS Foundation Trust",97.6,1922,328,"2011.03.20"
"Bedford Hospital NHS Trust",96.9,1337,283,"2011.03.20"
"Cambridge University Hospitals NHS Foundation Trust",92.4,1916,623,"2011.03.20"
"Colchester Hospital University NHS Foundation Trust",95.7,1451,359,"2011.03.20"
"East And North Hertfordshire NHS Trust",96.7,2625,545,"2011.03.20"
"Hinchingbrooke Health Care NHS Trust",93.8,759,186,"2011.03.20"
"IpsWiCh Hospital NHS Trust",96,1203,336,"2011.03.20"
"James Paget University Hospitals NHS Foundation Trust",92.6,1273,229,"2011.03.20"
"Luton And Dunstable Hospital NHS Foundation Trust",97.9,1293,396,"2011.03.20"
"Mid Essex Hospital Services NHS Trust",90.3,1335,300,"2011.03.20"
"Norfolk And NorWiCh University Hospitals NHS Foundation Trust",91.5,1661,442,"2011.03.20"
"Peterborough And Stamford Hospitals NHS Foundation Trust",87.6,1455,469,"2011.03.20"
"Southend University Hospital NHS Foundation Trust",96.5,1710,361,"2011.03.20"
"The Princess Alexandra Hospital NHS Trust",89.3,1655,429,"2011.03.20"
"The Queen Elizabeth Hospital King'S Lynn NHS Trust",97.9,1104,313,"2011.03.20"
"West Hertfordshire Hospitals NHS Trust",93.5,1561,377,"2011.03.20"
"West Suffolk Hospitals NHS Trust",99.7,1094,333,"2011.03.20"
"Barking, Havering And Redbridge University Hospitals NHS Trust",88.4,3370,1080,"2011.03.20"
"Barnet And Chase Farm Hospitals NHS Trust",95.2,3019,621,"2011.03.20"
"Barts And The London NHS Trust",93.3,2612,541,"2011.03.20"
"Chelsea And Westminster Hospital NHS Foundation Trust",98.5,2385,387,"2011.03.20"
"Croydon Health Services NHS Trust",97.5,2243,421,"2011.03.20"
"Ealing Hospital NHS Trust",96.1,1643,414,"2011.03.20"
"Epsom And St Helier University Hospitals NHS Trust",97.7,2639,546,"2011.03.20"
"Guy'S And St Thomas' NHS Foundation Trust",94.2,2693,571,"2011.03.20"
"Homerton University Hospital NHS Foundation Trust",92.1,1587,319,"2011.03.20"
"Imperial College Healthcare NHS Trust",96.7,2787,860,"2011.03.20"
"King'S College Hospital NHS Foundation Trust",97.3,2515,484,"2011.03.20"
"Kingston Hospital NHS Trust",97.8,2041,334,"2011.03.20"
"Lewisham Healthcare NHS Trust",97.5,2225,355,"2011.03.20"
"Newham University Hospital NHS Trust",91.5,1331,457,"2011.03.20"
"North Middlesex University Hospital NHS Trust",94.7,2138,228,"2011.03.20"
"North West London Hospitals NHS Trust",96.4,3331,732,"2011.03.20"
"Royal Free Hampstead NHS Trust",95.3,1666,367,"2011.03.20"
"South London Healthcare NHS Trust",97.4,3286,897,"2011.03.20"
"St George'S Healthcare NHS Trust",94.6,2375,621,"2011.03.20"
"The Hillingdon Hospital NHS Trust",97,1582,437,"2011.03.20"
"The Whittington Hospital NHS Trust",96.2,2017,333,"2011.03.20"
"University College London Hospitals NHS Foundation Trust",95.2,2226,346,"2011.03.20"
"West Middlesex University Hospital NHS Trust",98.7,2101,417,"2011.03.20"
"Whipps Cross University Hospital NHS Trust",97.8,2206,636,"2011.03.20"
"Ashford And St Peter'S Hospitals NHS Foundation Trust",89.6,1592,426,"2011.03.20"
"Brighton And Sussex University Hospitals NHS Trust",91.8,2758,648,"2011.03.20"
"Dartford And Gravesham NHS Trust",92.4,1823,403,"2011.03.20"
"East Kent Hospitals University NHS Foundation Trust",97.1,2631,691,"2011.03.20"
"East Sussex Hospitals NHS Trust",97,1918,462,"2011.03.20"
"Frimley Park Hospital NHS Foundation Trust",95.1,1910,443,"2011.03.20"
"Maidstone And Tunbridge Wells NHS Trust",96.9,2265,712,"2011.03.20"
"Medway NHS Foundation Trust",98.9,1787,286,"2011.03.20"
"Royal Surrey County Hospital NHS Foundation Trust",98.2,1270,278,"2011.03.20"
"Surrey And Sussex Healthcare NHS Trust",59.6,1010,421,"2011.03.20"
"Western Sussex Hospitals NHS Trust",97.1,2435,624,"2011.03.20"
"Basingstoke And North Hampshire NHS Foundation Trust",95.6,890,198,"2011.03.20"
"Buckinghamshire Healthcare NHS Trust",94.6,2176,337,"2011.03.20"
"Heatherwood And Wexham Park Hospitals NHS Foundation Trust",90.2,1871,502,"2011.03.20"
"Isle Of Wight NHS PCT",95.7,768,151,"2011.03.20"
"Milton Keynes Hospital NHS Foundation Trust",95.6,1430,312,"2011.03.20"
"Oxford Radcliffe Hospitals NHS Trust",95.7,2251,560,"2011.03.20"
"Portsmouth Hospitals NHS Trust",97.7,1819,608,"2011.03.20"
"Royal Berkshire NHS Foundation Trust",94.2,1598,341,"2011.03.20"
"Southampton University Hospitals NHS Trust",84.9,1853,393,"2011.03.20"
"Winchester And Eastleigh Healthcare NHS Trust",89,888,250,"2011.03.20"
"Dorset County Hospital NHS Foundation Trust",98.8,729,200,"2011.03.20"
"Gloucestershire Hospitals NHS Foundation Trust",90.8,2337,672,"2011.03.20"
"Great Western Hospitals NHS Foundation Trust",97.6,1342,311,"2011.03.20"
"North Bristol NHS Trust",97.5,1311,256,"2011.03.20"
"Northern Devon Healthcare NHS Trust",97.4,745,248,"2011.03.20"
"Plymouth Hospitals NHS Trust",91.7,1726,443,"2011.03.20"
"Poole Hospital NHS Foundation Trust",98.8,1145,336,"2011.03.20"
"Royal Cornwall Hospitals NHS Trust",94.1,1245,374,"2011.03.20"
"Royal Devon And Exeter NHS Foundation Trust",94.1,1958,497,"2011.03.20"
"Royal United Hospital Bath NHS Trust",97.3,1314,487,"2011.03.20"
"Salisbury NHS Foundation Trust",99.1,847,240,"2011.03.20"
"South Devon Healthcare NHS Foundation Trust",95.8,1348,421,"2011.03.20"
"Taunton And Somerset NHS Foundation Trust",97.7,1052,265,"2011.03.20"
"The Royal Bournemouth And Christchurch Hospitals NHS Foundation Trust",98.5,997,327,"2011.03.20"
"University Hospitals Bristol NHS Foundation Trust",95.8,1999,571,"2011.03.20"
"Weston Area Health NHS Trust",92.4,1008,207,"2011.03.20"
"Yeovil District Hospital NHS Foundation Trust",93.2,950,292,"2011.03.20"
"City Hospitals Sunderland NHS Foundation Trust",93.7,1420,506,"2011.03.13"
"County Durham And Darlington NHS Foundation Trust",91.9,2307,674,"2011.03.13"
"Gateshead Health NHS Foundation Trust",98.1,1186,289,"2011.03.13"
"North Tees And Hartlepool NHS Foundation Trust",97.9,1957,420,"2011.03.13"
"Northumbria Healthcare NHS Foundation Trust",96,2722,960,"2011.03.13"
"South Tees Hospitals NHS Foundation Trust",98.8,2400,542,"2011.03.13"
"South Tyneside NHS Foundation Trust",98.5,1137,277,"2011.03.13"
"The Newcastle Upon Tyne Hospitals NHS Foundation Trust",99.4,2022,469,"2011.03.13"
"Aintree University Hospitals NHS Foundation Trust",100,1556,463,"2011.03.13"
"Alder Hey Children'S NHS Foundation Trust",93,1270,344,"2011.03.13"
"Blackpool, Fylde And Wyre Hospitals NHS Foundation Trust",98.3,1748,391,"2011.03.13"
"Central Manchester University Hospitals NHS Foundation Trust",95.9,3517,804,"2011.03.13"
"Countess Of Chester Hospital NHS Foundation Trust",96.9,1239,413,"2011.03.13"
"East Cheshire NHS Trust",95.8,931,264,"2011.03.13"
"East Lancashire Hospitals NHS Trust",95.6,969,608,"2011.03.13"
"Lancashire Teaching Hospitals NHS Foundation Trust",97.9,2384,456,"2011.03.13"
"Mid Cheshire Hospitals NHS Foundation Trust",91.5,1238,461,"2011.03.13"
"North Cumbria University Hospitals NHS Trust",95,1367,352,"2011.03.13"
"Pennine Acute Hospitals NHS Trust",96.4,5898,1414,"2011.03.13"
"Royal Bolton Hospital NHS Foundation Trust",93.5,1994,365,"2011.03.13"
"Royal Liverpool And Broadgreen University Hospitals NHS Trust",98.5,1667,574,"2011.03.13"
"Salford Royal NHS Foundation Trust",96.1,1677,532,"2011.03.13"
"Southport And Ormskirk Hospital NHS Trust",94.1,909,242,"2011.03.13"
"St Helens And Knowsley Hospitals NHS Trust",97.6,1698,590,"2011.03.13"
"Stockport NHS Foundation Trust",98.7,1669,435,"2011.03.13"
"Tameside Hospital NHS Foundation Trust",95.1,1504,377,"2011.03.13"
"Trafford Healthcare NHS Trust",94,756,140,"2011.03.13"
"University Hospital Of South Manchester NHS Foundation Trust",93.1,1772,580,"2011.03.13"
"University Hospitals Of Morecambe Bay NHS Foundation Trust",95.7,1739,477,"2011.03.13"
"Warrington And Halton Hospitals NHS Foundation Trust",93.7,1623,515,"2011.03.13"
"Wirral University Teaching Hospital NHS Foundation Trust",94.5,1778,502,"2011.03.13"
"Wrightington, Wigan And Leigh NHS Foundation Trust",94.1,1829,480,"2011.03.13"
"Airedale NHS Foundation Trust",97.9,1067,199,"2011.03.13"
"Barnsley Hospital NHS Foundation Trust",97.6,1512,72,"2011.03.13"
"Bradford Teaching Hospitals NHS Foundation Trust",95.3,2445,663,"2011.03.13"
"Calderdale And Huddersfield NHS Foundation Trust",98.8,2567,589,"2011.03.13"
"Doncaster And Bassetlaw Hospitals NHS Foundation Trust",96.3,2708,596,"2011.03.13"
"Harrogate And District NHS Foundation Trust",97.3,840,170,"2011.03.13"
"Hull And East Yorkshire Hospitals NHS Trust",98.3,2274,633,"2011.03.13"
"Leeds Teaching Hospitals NHS Trust",98.1,3922,1499,"2011.03.13"
"Mid Yorkshire Hospitals NHS Trust",93.9,3965,998,"2011.03.13"
"Northern Lincolnshire And Goole Hospitals NHS Foundation Trust",97.7,2206,422,"2011.03.13"
"Scarborough And North East Yorkshire Health Care NHS Trust",94.3,791,207,"2011.03.13"
"Sheffield Children'S NHS Foundation Trust",97.4,1040,125,"2011.03.13"
"Sheffield Teaching Hospitals NHS Foundation Trust",95.4,2086,501,"2011.03.13"
"The Rotherham NHS Foundation Trust",96.3,1494,377,"2011.03.13"
"York Teaching Hospital NHS Foundation Trust",95.5,1456,318,"2011.03.13"
"Chesterfield Royal Hospital NHS Foundation Trust",98.4,1261,329,"2011.03.13"
"Derby Hospitals NHS Foundation Trust",94.2,2259,640,"2011.03.13"
"Kettering General Hospital NHS Foundation Trust",97.8,1212,327,"2011.03.13"
"Northampton General Hospital NHS Trust",98.7,1423,377,"2011.03.13"
"Nottingham University Hospitals NHS Trust",92.1,3176,849,"2011.03.13"
"Sherwood Forest Hospitals NHS Foundation Trust",98.2,1640,422,"2011.03.13"
"United Lincolnshire Hospitals NHS Trust",96.7,3042,711,"2011.03.13"
"University Hospitals Of Leicester NHS Trust",83.9,2794,914,"2011.03.13"
"Birmingham Children'S Hospital NHS Foundation Trust",95.3,980,275,"2011.03.13"
"Burton Hospitals NHS Foundation Trust",94.1,1187,351,"2011.03.13"
"George Eliot Hospital NHS Trust",96,1235,270,"2011.03.13"
"Heart Of England NHS Foundation Trust",90.6,4622,1436,"2011.03.13"
"Hereford Hospitals NHS Trust",96.9,943,209,"2011.03.13"
"Mid Staffordshire NHS Foundation Trust",76.5,1103,309,"2011.03.13"
"Sandwell And West Birmingham Hospitals NHS Trust",93.9,3572,849,"2011.03.13"
"Shrewsbury And Telford Hospital NHS Trust",92.9,1806,384,"2011.03.13"
"South WarWiCkshire NHS Foundation Trust",91.8,1111,317,"2011.03.13"
"The Dudley Group Of Hospitals NHS Foundation Trust",98.7,1960,480,"2011.03.13"
"The Royal Wolverhampton Hospitals NHS Trust",97.4,2087,337,"2011.03.13"
"University Hospital Birmingham NHS Foundation Trust",93.6,1659,459,"2011.03.13"
"University Hospital Of North Staffordshire NHS Trust",90,1995,619,"2011.03.13"
"University Hospitals Coventry And WarWiCkshire NHS Trust",96.9,2875,795,"2011.03.13"
"Walsall Hospitals NHS Trust",99.5,1510,310,"2011.03.13"
"Worcestershire Acute Hospitals NHS Trust",93.1,2338,560,"2011.03.13"
"Basildon And Thurrock University Hospitals NHS Foundation Trust",98.7,2077,363,"2011.03.13"
"Bedford Hospital NHS Trust",97.3,1278,304,"2011.03.13"
"Cambridge University Hospitals NHS Foundation Trust",88.1,1883,629,"2011.03.13"
"Colchester Hospital University NHS Foundation Trust",97.6,1421,362,"2011.03.13"
"East And North Hertfordshire NHS Trust",95.4,2656,621,"2011.03.13"
"Hinchingbrooke Health Care NHS Trust",98.4,746,131,"2011.03.13"
"IpsWiCh Hospital NHS Trust",96.7,1181,360,"2011.03.13"
"James Paget University Hospitals NHS Foundation Trust",94,1193,225,"2011.03.13"
"Luton And Dunstable Hospital NHS Foundation Trust",91.9,1274,401,"2011.03.13"
"Mid Essex Hospital Services NHS Trust",93.8,1397,361,"2011.03.13"
"Norfolk And NorWiCh University Hospitals NHS Foundation Trust",92.3,1639,425,"2011.03.13"
"Peterborough And Stamford Hospitals NHS Foundation Trust",90.3,1367,448,"2011.03.13"
"Southend University Hospital NHS Foundation Trust",96.8,1791,356,"2011.03.13"
"The Princess Alexandra Hospital NHS Trust",92.6,1624,451,"2011.03.13"
"The Queen Elizabeth Hospital King'S Lynn NHS Trust",94.2,1065,291,"2011.03.13"
"West Hertfordshire Hospitals NHS Trust",90.1,1488,367,"2011.03.13"
"West Suffolk Hospitals NHS Trust",99.6,1121,342,"2011.03.13"
"Barking, Havering And Redbridge University Hospitals NHS Trust",93.4,3312,1062,"2011.03.13"
"Barnet And Chase Farm Hospitals NHS Trust",97.8,2993,583,"2011.03.13"
"Barts And The London NHS Trust",92.8,2513,451,"2011.03.13"
"Chelsea And Westminster Hospital NHS Foundation Trust",95.9,2269,346,"2011.03.13"
"Croydon Health Services NHS Trust",97.3,2267,459,"2011.03.13"
"Ealing Hospital NHS Trust",96.9,1543,410,"2011.03.13"
"Epsom And St Helier University Hospitals NHS Trust",96.1,2682,611,"2011.03.13"
"Guy'S And St Thomas' NHS Foundation Trust",97.3,2619,545,"2011.03.13"
"Homerton University Hospital NHS Foundation Trust",93.4,1572,325,"2011.03.13"
"Imperial College Healthcare NHS Trust",96.2,2656,733,"2011.03.13"
"King'S College Hospital NHS Foundation Trust",97.6,2304,426,"2011.03.13"
"Kingston Hospital NHS Trust",97.2,2034,316,"2011.03.13"
"Lewisham Healthcare NHS Trust",97.6,2227,374,"2011.03.13"
"Newham University Hospital NHS Trust",96.9,1354,427,"2011.03.13"
"North Middlesex University Hospital NHS Trust",95.4,2241,302,"2011.03.13"
"North West London Hospitals NHS Trust",96.4,3350,640,"2011.03.13"
"Royal Free Hampstead NHS Trust",97.6,1687,363,"2011.03.13"
"South London Healthcare NHS Trust",98.4,3381,946,"2011.03.13"
"St George'S Healthcare NHS Trust",96.8,2363,665,"2011.03.13"
"The Hillingdon Hospital NHS Trust",98.2,1644,404,"2011.03.13"
"The Whittington Hospital NHS Trust",95.8,2104,333,"2011.03.13"
"University College London Hospitals NHS Foundation Trust",97.4,2078,317,"2011.03.13"
"West Middlesex University Hospital NHS Trust",99.3,2049,417,"2011.03.13"
"Whipps Cross University Hospital NHS Trust",96.7,2047,588,"2011.03.13"
"Ashford And St Peter'S Hospitals NHS Foundation Trust",86.5,1855,464,"2011.03.13"
"Brighton And Sussex University Hospitals NHS Trust",93.9,2709,616,"2011.03.13"
"Dartford And Gravesham NHS Trust",87.4,1820,427,"2011.03.13"
"East Kent Hospitals University NHS Foundation Trust",90.8,2747,699,"2011.03.13"
"East Sussex Hospitals NHS Trust",95.5,1910,400,"2011.03.13"
"Frimley Park Hospital NHS Foundation Trust",96.4,1925,506,"2011.03.13"
"Maidstone And Tunbridge Wells NHS Trust",97.6,2464,797,"2011.03.13"
"Medway NHS Foundation Trust",96,1759,329,"2011.03.13"
"Royal Surrey County Hospital NHS Foundation Trust",97.2,1283,290,"2011.03.13"
"Surrey And Sussex Healthcare NHS Trust",61.3,1065,396,"2011.03.13"
"Western Sussex Hospitals NHS Trust",97.2,2349,667,"2011.03.13"
"Basingstoke And North Hampshire NHS Foundation Trust",93.3,958,220,"2011.03.13"
"Buckinghamshire Healthcare NHS Trust",96.6,2188,360,"2011.03.13"
"Heatherwood And Wexham Park Hospitals NHS Foundation Trust",97.4,1704,465,"2011.03.13"
"Isle Of Wight NHS PCT",97.8,761,147,"2011.03.13"
"Milton Keynes Hospital NHS Foundation Trust",98,1465,329,"2011.03.13"
"Oxford Radcliffe Hospitals NHS Trust",89.4,2281,552,"2011.03.13"
"Portsmouth Hospitals NHS Trust",95.9,1816,604,"2011.03.13"
"Royal Berkshire NHS Foundation Trust",95.5,1684,383,"2011.03.13"
"Southampton University Hospitals NHS Trust",89.3,1903,407,"2011.03.13"
"Winchester And Eastleigh Healthcare NHS Trust",92.4,886,240,"2011.03.13"
"Dorset County Hospital NHS Foundation Trust",94.1,734,190,"2011.03.13"
"Gloucestershire Hospitals NHS Foundation Trust",87.2,2272,653,"2011.03.13"
"Great Western Hospitals NHS Foundation Trust",97.7,1323,304,"2011.03.13"
"North Bristol NHS Trust",98.6,1267,284,"2011.03.13"
"Northern Devon Healthcare NHS Trust",96,734,231,"2011.03.13"
"Plymouth Hospitals NHS Trust",93.7,1615,464,"2011.03.13"
"Poole Hospital NHS Foundation Trust",98.9,1092,322,"2011.03.13"
"Royal Cornwall Hospitals NHS Trust",92,1289,371,"2011.03.13"
"Royal Devon And Exeter NHS Foundation Trust",94.1,1899,509,"2011.03.13"
"Royal United Hospital Bath NHS Trust",95.8,1417,514,"2011.03.13"
"Salisbury NHS Foundation Trust",98.5,721,181,"2011.03.13"
"South Devon Healthcare NHS Foundation Trust",98.1,1364,465,"2011.03.13"
"Taunton And Somerset NHS Foundation Trust",97,1045,283,"2011.03.13"
"The Royal Bournemouth And Christchurch Hospitals NHS Foundation Trust",99.3,972,391,"2011.03.13"
"University Hospitals Bristol NHS Foundation Trust",93.5,1980,597,"2011.03.13"
"Weston Area Health NHS Trust",91.3,965,187,"2011.03.13"
"Yeovil District Hospital NHS Foundation Trust",94,810,221,"2011.03.13"
"City Hospitals Sunderland NHS Foundation Trust",93.7,1418,506,"2011.03.06"
"County Durham And Darlington NHS Foundation Trust",98.2,2269,638,"2011.03.06"
"Gateshead Health NHS Foundation Trust",99.3,1135,295,"2011.03.06"
"North Tees And Hartlepool NHS Foundation Trust",98.3,1911,398,"2011.03.06"
"Northumbria Healthcare NHS Foundation Trust",96.7,2562,937,"2011.03.06"
"South Tees Hospitals NHS Foundation Trust",98.9,2314,483,"2011.03.06"
"South Tyneside NHS Foundation Trust",97.5,1135,287,"2011.03.06"
"The Newcastle Upon Tyne Hospitals NHS Foundation Trust",99.3,1988,447,"2011.03.06"
"Aintree University Hospitals NHS Foundation Trust",99.6,1582,439,"2011.03.06"
"Alder Hey Children'S NHS Foundation Trust",97.4,1193,348,"2011.03.06"
"Blackpool Teaching Hospitals NHS Foundation Trust",98.7,1693,393,"2011.03.06"
"Central Manchester University Hospitals NHS Foundation Trust",97.2,3507,771,"2011.03.06"
"Countess Of Chester Hospital NHS Foundation Trust",96.1,1184,355,"2011.03.06"
"East Cheshire NHS Trust",97.5,852,235,"2011.03.06"
"Lancashire Teaching Hospitals NHS Foundation Trust",98.3,2252,427,"2011.03.06"
"Mid Cheshire Hospitals NHS Foundation Trust",98.5,1097,403,"2011.03.06"
"North Cumbria University Hospitals NHS Trust",96.4,1333,342,"2011.03.06"
"Pennine Acute Hospitals NHS Trust",96.7,5654,1375,"2011.03.06"
"Royal Bolton Hospital NHS Foundation Trust",89.3,2017,360,"2011.03.06"
"Royal Liverpool And Broadgreen University Hospitals NHS Trust",97.9,1586,521,"2011.03.06"
"Salford Royal NHS Foundation Trust",97.1,1579,489,"2011.03.06"
"Southport And Ormskirk Hospital NHS Trust",96.2,861,260,"2011.03.06"
"St Helens And Knowsley Hospitals NHS Trust",97.1,1723,622,"2011.03.06"
"Stockport NHS Foundation Trust",98.2,1614,422,"2011.03.06"
"Tameside Hospital NHS Foundation Trust",96.1,1344,330,"2011.03.06"
"Trafford Healthcare NHS Trust",95.6,729,138,"2011.03.06"
